downloading https://blockchain.info/blocks/?format=json
LB = number of leading bits; PRICE = estimated price to mine the block
hash                                                             LB     PRICE timestamp
00000000000000000007472048bb49f351914e55b525a8961832050a51a592bb 77   197,458 Wed Jul  4 17:05:27 2018
000000000000000000290c635102ab02287824c2a886016d3b2dec42426c47c9 74    24,682 Wed Jul  4 17:04:37 2018
000000000000000000059416293b0fbb383d4bea1c3781683dffd1ecc69e8895 77   197,458 Wed Jul  4 17:03:44 2018
000000000000000000067934d697f7560209556cd8fb90a0826f384319c7dfac 77   197,458 Wed Jul  4 16:39:06 2018
0000000000000000001d7185430f566ea597697fda13b122356bb3786c620197 75    49,364 Wed Jul  4 16:36:20 2018
00000000000000000027dd7805090d7eb1e6c2f0cc14f0302dd00c542c9da183 74    24,682 Wed Jul  4 16:31:04 2018
0000000000000000002d45f097b8e1de481f4eabd77ef812d0fd8a27e9942f3e 74    24,682 Wed Jul  4 16:29:18 2018
0000000000000000001de855b4416887721e65b240850173f3c8b316a0fec5de 75    49,364 Wed Jul  4 16:22:51 2018
00000000000000000010b5323b5e614a03630a961f57301e0d6fbf5fb9892e18 75    49,364 Wed Jul  4 15:42:18 2018
00000000000000000004048bad0cb3c9b39b6b5c4ee54f3119573037d730b4fc 77   197,458 Wed Jul  4 15:38:40 2018
0000000000000000002a097007bee0270e9ab67674883de23a9f899d2b71684d 74    24,682 Wed Jul  4 15:24:00 2018
0000000000000000002129c67ee8af08b7c6bc3ee132e9cf6357ea8e140e8929 74    24,682 Wed Jul  4 15:22:53 2018
00000000000000000027b34eb538e86c12b54ba423aee91a36fb2e124b75e365 74    24,682 Wed Jul  4 14:58:09 2018
00000000000000000017adfac0c1a3955c98f61b17e53dc077ddbcb3a92dd486 75    49,364 Wed Jul  4 14:48:12 2018
00000000000000000012ba540b4d9f20832ced16bba8f0f22fce1d6ed5b028b9 75    49,364 Wed Jul  4 14:41:22 2018
0000000000000000000bf0c014fdb373f81c3a71b8c6e632fd9dc94da77daf2e 76    98,729 Wed Jul  4 14:33:14 2018
00000000000000000002bf9189f948aaf1869fcb8009d8797638c0e55d001875 78   394,916 Wed Jul  4 14:18:00 2018
00000000000000000004c9fac237dadcb870f0bde0081d5a4ede0691d09abbf4 77   197,458 Wed Jul  4 14:15:32 2018
0000000000000000001bb2d6de9786ade1c64751d31c8cda537f389bb5c0ad52 75    49,364 Wed Jul  4 13:54:02 2018
00000000000000000002085dc299cafe1b0f498cae5137c8ac7ff3fa6f7c5bab 78   394,916 Wed Jul  4 13:45:51 2018
