leading bits the hash:  74
number of hashes     :  18889465931478580854784
hours of work:          374,791
kWatts:                 514,213
electricity bill, USD:  24,682
------------ let's have a look at the last 24h: (hash, timestamp, electricity bill for the block)
000000000000000000374128dc19fa1a47d37b798105e8f54b696bd5daca0afe, Mon Oct 16 22:38:37 2017, 24,682
00000000000000000078f5f4694651bc90d01f52acd924638ff32fab422ac709, Mon Oct 16 22:13:46 2017, 12,341
000000000000000000a0a55cf79f17aa971ba052cf32865dc3e308387eab617e, Mon Oct 16 22:12:21 2017, 6,171
000000000000000000aad065c1488be201d76c14e80a15e5ea9845fc98492a96, Mon Oct 16 22:07:47 2017, 6,171
0000000000000000005684d0165c69921329af7c901f45f502761fa5077cbe9e, Mon Oct 16 21:55:57 2017, 12,341
000000000000000000d7fca2ebb9134eb568d321264839a5f0165f0ef8b6c4bd, Mon Oct 16 21:55:06 2017, 6,171
00000000000000000047e864494cac8a2af8ea86bee8c209825e10dd984659f6, Mon Oct 16 21:48:01 2017, 12,341
000000000000000000b05b0c50349544b566dea2dc8ced6cf1a2c914ea76537f, Mon Oct 16 21:43:18 2017, 6,171
000000000000000000cffcf5b5a2a4cfa989a31ed752adf84e61445dc3f57694, Mon Oct 16 21:37:58 2017, 6,171
000000000000000000a3309874f048a9162b3d6dc5e7236f8a7bf2ecf49222fd, Mon Oct 16 21:31:47 2017, 6,171
0000000000000000003adaf49ea3bc1f17b60eccd0dafda34bc321c6621c51d6, Mon Oct 16 21:25:04 2017, 24,682
0000000000000000002d2e52dbd5f7b24499e82b7f5aceaa91180d3c72bb71a8, Mon Oct 16 21:10:18 2017, 24,682
00000000000000000091694fafa97fb9cdd4904bd8535fe90cd87f76b57276fb, Mon Oct 16 21:02:41 2017, 6,171
000000000000000000cb60dedc14203df6fdba1db7dfbe817c19124156d90100, Mon Oct 16 21:01:08 2017, 6,171
00000000000000000054622b8357662100745f4d013bb075f56292b1f5bc0b26, Mon Oct 16 20:34:41 2017, 12,341
00000000000000000048b6c7a77c03dcd58246272e5f8823faf35eb423adf0bf, Mon Oct 16 20:26:59 2017, 12,341
0000000000000000006f5029d8a04d3887f646d07c1c4eb74c5b7f8080e3ce8d, Mon Oct 16 20:25:51 2017, 12,341
00000000000000000038ab3d4eff6091f4903efc08e81d7adef62ad8cabadd47, Mon Oct 16 20:20:47 2017, 24,682
0000000000000000004bcfc7c081cf1de73d978fcf836e87a0ab2750b4c7bddc, Mon Oct 16 20:20:42 2017, 12,341
000000000000000000cc0c78916c9e3db8f4312f968938fcaba04e07408a314f, Mon Oct 16 19:55:16 2017, 6,171
0000000000000000004c9e76f6e49f6724a2e4080e2d6b2491d3e589136a33d4, Mon Oct 16 19:48:07 2017, 12,341
0000000000000000001f1fbdc287c2bc3e2b963cefe97314347dc3d4689a1f5f, Mon Oct 16 19:38:34 2017, 49,364
00000000000000000094d1dfcf1b38c6448e1366d471dd4208c2ed091a8e9fac, Mon Oct 16 19:30:30 2017, 6,171
000000000000000000cfc52616406a24fc250d02d8e787255aa5d30d6adab583, Mon Oct 16 19:14:50 2017, 6,171
00000000000000000060cf40270bcb84e5cb40573642d37c56d089f3148399a4, Mon Oct 16 19:03:02 2017, 12,341
000000000000000000c508bc2ada8ebc62cf1c69cb66a163d9a99abad87599b6, Mon Oct 16 18:29:07 2017, 6,171
0000000000000000000590d60e05a1ab8746a40b29a3c693613ddf1d5627a7ea, Mon Oct 16 18:22:53 2017, 197,458
000000000000000000b43a39ba6051c6a8d58d09e3583e6a510f1a945c99ebe7, Mon Oct 16 18:12:29 2017, 6,171
0000000000000000008f106b39f280af116bbd5ba125ffc1d8d4f838ff8bcc5a, Mon Oct 16 18:02:45 2017, 6,171
00000000000000000047d18459585ebfd67f25e39a4f03194fd9dbcb20672a1c, Mon Oct 16 17:33:41 2017, 12,341
000000000000000000b73fa2681d26971a6bde5232a08bdabc89c0e009957525, Mon Oct 16 17:29:10 2017, 6,171
00000000000000000010e73208d913edd57f159e3fa5915e446812f6cd5500ce, Mon Oct 16 17:24:35 2017, 49,364
00000000000000000090d7af364c9137e58c407c0052d62b5651715651d47cea, Mon Oct 16 17:23:55 2017, 6,171
000000000000000000d95427175a1bdb0ad45d14347ce065146f435034e07218, Mon Oct 16 17:23:20 2017, 6,171
000000000000000000b4f63ca04da54a5504a70cc6e080b36129750a161a557c, Mon Oct 16 17:13:21 2017, 6,171
000000000000000000c2a6ef80cb5d6f7c68a24f494eba5988144c045432a228, Mon Oct 16 16:46:06 2017, 6,171
00000000000000000084ba411c063fecf92dbc4ce7216939b43a6750b711be49, Mon Oct 16 16:36:50 2017, 6,171
0000000000000000005c2387ae77cd9aa0e55ba47fef7b6956ede6344a8d351d, Mon Oct 16 16:34:49 2017, 12,341
00000000000000000076ae38262aa8faa118ec19f5039b529ba261de88374552, Mon Oct 16 16:33:28 2017, 12,341
000000000000000000e550336bddf82c73b17930fcc6266797f081c423b8bf33, Mon Oct 16 16:29:10 2017, 6,171
0000000000000000007ca1c04669d0b22f0a9940f43778d3e7413d34273d061e, Mon Oct 16 16:14:36 2017, 12,341
0000000000000000006017321d40bc4dd310d1a51fda13d712af4ecf18992c6b, Mon Oct 16 16:07:19 2017, 12,341
0000000000000000009259724ec3a97248363bc91247e14e1ddc016e068b63a0, Mon Oct 16 15:59:29 2017, 6,171
000000000000000000df7c5a68a9a91730fc7b995c142f7f4c52f51ab9ba0d87, Mon Oct 16 15:59:17 2017, 6,171
0000000000000000006ca731a8c2d3ce7f7a0aa18c7345ac54e342923cfb601b, Mon Oct 16 15:42:44 2017, 12,341
0000000000000000008cbe5c828bb860c27ea7946eb8f60e11bfad34d2da2daa, Mon Oct 16 15:39:00 2017, 6,171
000000000000000000e0910cd6d19a156ed033c1245c3695128f4c7ff105c377, Mon Oct 16 15:33:33 2017, 6,171
000000000000000000797d90738a26215ae27e1cb1d9a2152065395f9f0febb4, Mon Oct 16 15:24:01 2017, 12,341
00000000000000000028a999606b051d28795e559c3883b048ba15f63fde6642, Mon Oct 16 15:16:25 2017, 24,682
000000000000000000a8dc8175e1a43a279bc43def37eff6537d3074f0a71d1d, Mon Oct 16 15:15:00 2017, 6,171
000000000000000000043f56d3c8a3ab8efe5a7bcfede7c0f315cdf30ec25618, Mon Oct 16 15:08:21 2017, 197,458
00000000000000000052ac286934c13136ae9969c754739382ec0ebc598f22f5, Mon Oct 16 15:03:14 2017, 12,341
00000000000000000079ec488cf349d66376d671ea397932316f24fb26f02207, Mon Oct 16 15:02:00 2017, 12,341
000000000000000000d22a5ff93749a44b15d72a0ea70664f6022bed600ef50c, Mon Oct 16 14:58:26 2017, 6,171
000000000000000000195032949e66ab338138578424c6117e8b6a42b0c7bd75, Mon Oct 16 14:58:00 2017, 49,364
0000000000000000008628ceee608dc10916a29943e5d46bd11e49a71ac786df, Mon Oct 16 14:54:18 2017, 6,171
00000000000000000097d75338ba148419b9a277fbe371b9066ec43f0b3157ad, Mon Oct 16 14:51:00 2017, 6,171
000000000000000000c24968d5f71be2479b3e21c4babdd8d1ee6c3ca8b2639a, Mon Oct 16 14:42:16 2017, 6,171
00000000000000000099e1c8f3fc8c79a131454f28bd57af3c04635970a59d49, Mon Oct 16 14:41:43 2017, 6,171
0000000000000000003f1158709841cf31e431bde46fe90b2de0e9db5014b574, Mon Oct 16 14:34:50 2017, 24,682
00000000000000000062077d6a144944f05b06d0219c16d6d86b11894964ba0d, Mon Oct 16 14:22:34 2017, 12,341
00000000000000000080e9351b7d97b83e7dd244ddca934982988a5905f9b961, Mon Oct 16 14:11:19 2017, 6,171
00000000000000000056b10685116889ee4d13c3e7d7c3c4e8ee74ceaa596f6c, Mon Oct 16 14:01:42 2017, 12,341
000000000000000000a1846b80f9a5e9a01b281ac1e3dc0b3ecd191ffae51286, Mon Oct 16 13:49:35 2017, 6,171
000000000000000000db3ceee74fcc10b75008f3fb385d334359b069397beca3, Mon Oct 16 13:20:30 2017, 6,171
00000000000000000094fce26ef4188410200a713ba278b85247aae2135182de, Mon Oct 16 13:17:26 2017, 6,171
00000000000000000095c89672398d2f2d8aea7d2406e5ecaafb094e5118f4bd, Mon Oct 16 13:11:18 2017, 6,171
000000000000000000ba1e5ac28c55515fd00d99d094b13539acd5e4d94e7539, Mon Oct 16 13:03:37 2017, 6,171
0000000000000000009bffef95c62478325c145515c7eab2c0ed5cd0be1b8c83, Mon Oct 16 12:59:35 2017, 6,171
0000000000000000005d4235848fafb9eb94e1bfdfaab7acf07e0ec179c5c72a, Mon Oct 16 12:54:56 2017, 12,341
000000000000000000e57146a24d090aa7b1a7d5c36ec1248899c4a074458576, Mon Oct 16 12:47:37 2017, 6,171
00000000000000000027616bedda81a1e55179b8067bce2dcee793c17605ceef, Mon Oct 16 12:24:51 2017, 24,682
00000000000000000038b58362a67e4b7a03deaef5aff0121209cfd51728d40d, Mon Oct 16 12:16:13 2017, 24,682
000000000000000000a6fbced09b051dcbdd38ec45817e22cb0471e3030f4884, Mon Oct 16 12:15:00 2017, 6,171
00000000000000000071d38192cae8308581468d419c97203d3c354e5bc3b965, Mon Oct 16 12:09:07 2017, 12,341
000000000000000000b24f665f2a4902576f7bf3dccda762d830019c1634f456, Mon Oct 16 12:05:18 2017, 6,171
000000000000000000817d56511e1e3f2269250ee49f9fa651fc2c625c360138, Mon Oct 16 11:52:49 2017, 6,171
000000000000000000b9b880ee7ad194ce3c395d1154cf0ed0c31345e9b768be, Mon Oct 16 11:42:49 2017, 6,171
0000000000000000001f9ad55a3ccf9fe2f41c65188a96fc0bf4e81fa137f6a3, Mon Oct 16 11:27:16 2017, 49,364
0000000000000000006aa92674779dbabcead81059e5531c0a8204b1128749fa, Mon Oct 16 11:20:18 2017, 12,341
000000000000000000e173427f8ed0ac75f18ccc83957550fead25565b30a2a0, Mon Oct 16 11:16:37 2017, 6,171
000000000000000000d06431fc6e163a7ffe84966deda4dcdd3dfda39491af01, Mon Oct 16 10:58:05 2017, 6,171
000000000000000000b04799e441ec555bbdf602d5b816c337e945620c7a7c2b, Mon Oct 16 10:40:06 2017, 6,171
000000000000000000aa733a24524aabf7e0ebb84bff4e330921c6f0e27489cd, Mon Oct 16 10:36:29 2017, 6,171
000000000000000000cb8fed1da23d7c1b4af6fc183f0a2ab69c5a1fe65bbd36, Mon Oct 16 10:13:57 2017, 6,171
0000000000000000005f5d3f2bc559e270093c7dd4f9b46a805385a9c2ffef40, Mon Oct 16 10:08:41 2017, 12,341
0000000000000000001cf55fb68e0721ee41e0e79769653998f48f40f9298d98, Mon Oct 16 09:54:16 2017, 49,364
000000000000000000a201648ef19a5c036b7e4caa2972bd26822f40ac9913a3, Mon Oct 16 09:53:20 2017, 6,171
0000000000000000002ef3bda90f26504878e89afa18aa51bc69cab529262ac6, Mon Oct 16 09:41:53 2017, 24,682
0000000000000000009bb086085a818c501e44a21250203e3e5accd22a1c26f8, Mon Oct 16 09:32:40 2017, 6,171
000000000000000000db7378755e07ab57cf0897e632942b3873472a0c1b17f3, Mon Oct 16 09:29:04 2017, 6,171
0000000000000000004ba0069afc0d2286f771991c61702fc99b7884fc51e3f3, Mon Oct 16 09:26:13 2017, 12,341
0000000000000000001128c1370aee79e395afab7a51b6b6cafcc81990ef8fe8, Mon Oct 16 09:14:02 2017, 49,364
0000000000000000001002e8b8ca33984f759c446fc1f72d9af1346207f08306, Mon Oct 16 09:11:17 2017, 49,364
0000000000000000009b58d8de5dc964bbe4f4521306ac8c266a0807c8976b51, Mon Oct 16 09:00:05 2017, 6,171
000000000000000000adbd7164e92bbfeca3134e1da783947eb9a1dfa2bac79d, Mon Oct 16 08:47:39 2017, 6,171
000000000000000000b2511486b4db87431ce2dfbb89a5336ff3ca56f90824bc, Mon Oct 16 08:45:29 2017, 6,171
000000000000000000688a7c94f9b14da72b3987ab42b417ca5219535ce4ee23, Mon Oct 16 08:38:52 2017, 12,341
000000000000000000986aab3f2ae4b539daa8e811d16569ef398e04e606f10e, Mon Oct 16 08:34:48 2017, 6,171
0000000000000000001f59431e5dd459de05919d5c26ba8604b2fbb9121a07da, Mon Oct 16 08:32:56 2017, 49,364
000000000000000000e7fe7dbecde1d81d62cef1c50f39f5f65fd73b167cc2ec, Mon Oct 16 08:31:15 2017, 6,171
00000000000000000096aa610594a5d8d4c3021ae25b2f0805d0fdf2fe59b1a8, Mon Oct 16 08:01:02 2017, 6,171
000000000000000000d38c7cbf96a63a587f35f81ac83d5fb37e8fbdf6659c20, Mon Oct 16 07:47:17 2017, 6,171
000000000000000000b51f14b0b9262cdbce0d6d042fd0c038f4c07274a8c4f8, Mon Oct 16 07:44:39 2017, 6,171
00000000000000000030be3b1873c18c4011f6b708d427b95c3aa9971c456010, Mon Oct 16 07:26:53 2017, 24,682
000000000000000000a5417355579906f83820f68d47a0287d01dcb000cd1a60, Mon Oct 16 07:23:47 2017, 6,171
00000000000000000061f00d3b0061f87afe7ec73dd75c9408e9afc788da466b, Mon Oct 16 07:19:17 2017, 12,341
000000000000000000585e62776f6273ddd15b54964621bd41dd71b72acb4e03, Mon Oct 16 07:17:28 2017, 12,341
000000000000000000149de03058f8e514c7a8473470cefaab7be8b4219f9494, Mon Oct 16 07:12:10 2017, 49,364
00000000000000000011fd1db41ac44a7652ab065a54606d1fdd31f9d0af4432, Mon Oct 16 06:44:35 2017, 49,364
0000000000000000009711a6b95760c5b59f5ca1dce3bcc0e3cfc3fd51d9ece1, Mon Oct 16 06:44:04 2017, 6,171
000000000000000000acf063059811e77fdd551547e8023c2195936e4ee4bece, Mon Oct 16 06:42:28 2017, 6,171
000000000000000000181d309937761f43d5352ced927d16d03ec5ce264e3c1d, Mon Oct 16 06:29:27 2017, 49,364
000000000000000000a91c8adc4c6ef0a9c3988f3ff30ebd699a07219a6471e1, Mon Oct 16 06:25:12 2017, 6,171
00000000000000000039664f9ed84f533c2e57aa1338a26457db6b9275ba8b36, Mon Oct 16 06:19:51 2017, 24,682
000000000000000000c39b55b1de4ae1e1d16d17c53f10ba756781c4bf254502, Mon Oct 16 06:16:47 2017, 6,171
000000000000000000bd58f0eaa18584d6b79cdd1d721676117879d8f9d8cd8b, Mon Oct 16 06:09:36 2017, 6,171
0000000000000000000ca8c657ad46b1902e25b8f33c76488dab81be2286a125, Mon Oct 16 06:09:23 2017, 98,729
0000000000000000004feef807a3de635088c8efd18ead8292ad14ccff290484, Mon Oct 16 06:07:29 2017, 12,341
000000000000000000d32a2a31b9b4cdfff20dfb62f2bb17a49b16cf0a7e884b, Mon Oct 16 06:03:17 2017, 6,171
0000000000000000004358bd7ef1cae989478956ecc5edfe37d8b67b1613d053, Mon Oct 16 05:48:59 2017, 12,341
000000000000000000888cad6747ac507e81aa9c5e53c36312f667dea9100d08, Mon Oct 16 05:46:58 2017, 6,171
0000000000000000008b91ab02c155615e2ed673e66b9e89e5c8f8ca27dd0fe0, Mon Oct 16 05:46:02 2017, 6,171
000000000000000000abfbc955218b21e7d61b39dac13fc6f31ac58ce9e7fcad, Mon Oct 16 05:41:28 2017, 6,171
0000000000000000007bcd5a61f87c6d0a5ffe6b562807dfade75d697d56e885, Mon Oct 16 05:29:05 2017, 12,341
0000000000000000003eb16d159dd96901c0688db8bf418abd2068e193ae0f45, Mon Oct 16 05:26:13 2017, 24,682
000000000000000000a99411c69ad537718ca94932e9641ec2166e91752bb615, Mon Oct 16 05:23:38 2017, 6,171
00000000000000000097d8a9f9dc6e5dc057688817071e8959fb74eb974e1c68, Mon Oct 16 05:17:15 2017, 6,171
00000000000000000043e3a162a03b2c51df1420ff167720844d7eca1747444a, Mon Oct 16 05:13:10 2017, 12,341
00000000000000000056b747f803025742746f2eb5eff45c843e05177351dfd8, Mon Oct 16 04:54:02 2017, 12,341
0000000000000000004c5613326d116b213b49a2d906badcfd643cdf47169063, Mon Oct 16 04:51:41 2017, 12,341
00000000000000000063e6eea8ec87379d113400ed730a75d5ef78945ba0ecef, Mon Oct 16 04:37:05 2017, 12,341
000000000000000000989f80d46252ce733d6cb5f4c11ff326562ab9edcc64b2, Mon Oct 16 04:27:17 2017, 6,171
0000000000000000005ec8073349138296f10ea1f7a714f0b3b79ed868eeb7ba, Mon Oct 16 04:22:33 2017, 12,341
000000000000000000c09f24dd2c80d6b8d7c2aaddb3dbed69e54c80df6ef5a9, Mon Oct 16 04:03:01 2017, 6,171
0000000000000000009671f9c14a0c1373cf07f5d8ff29cf38acbd41edacba7f, Mon Oct 16 04:02:23 2017, 6,171
000000000000000000c88ff3e0b21759cb9c6439ae28a78adaf910d80ab0cc30, Mon Oct 16 03:56:48 2017, 6,171
000000000000000000df9495a043025b31e46c5a5edd884985327d50b8714905, Mon Oct 16 03:54:37 2017, 6,171
0000000000000000005a3111239057c1a5c07eaf740d9b5431254d59a3a790bb, Mon Oct 16 03:44:56 2017, 12,341
0000000000000000002eca966ed0bd69511ab6335e08f2ac696f92fc0b348edd, Mon Oct 16 03:37:00 2017, 24,682
000000000000000000db464ab6bcec46233459d90beec0c6c6477384a5679a07, Mon Oct 16 03:17:36 2017, 6,171
0000000000000000002e3dfb8ff32809f89e87b0784e0e9b86973c48aae2d123, Mon Oct 16 03:05:19 2017, 24,682
